Id	InChI	Score
1	InChI=1S/C15H24N2O2/c18-15-6-3-4-13-12-8-11(9-16(13)15)14-5-1-2-7-17(14,19)10-12/h11-14H,1-10H2	0.46771222188494
2	InChI=1S/C21H37N/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-19-16-17-20(2)22-21/h16-17,19H,3-15,18H2,1-2H3	0.17272434319743
3	InChI=1S/C23H39NO/c1-15(24(4)5)19-8-9-20-18-7-6-16-14-17(25)10-12-22(16,2)21(18)11-13-23(19,20)3/h6,15,17-21,25H,7-14H2,1-5H3	0.24193567070349
4	InChI=1S/C22H35NO/c1-14(23-4)18-7-8-19-17-6-5-15-13-16(24)9-11-21(15,2)20(17)10-12-22(18,19)3/h13-14,17-20,23H,5-12H2,1-4H3	0.30812161396647
5	InChI=1S/C13H19NO2/c1-4-13(16)9-12-7-5-6-11(14(12)3)8-10(2)15/h4-5,7,11-12H,1,6,8-9H2,2-3H3	0.26927592890667
6	InChI=1S/C13H19NO4/c1-8-11(16)13(18-12(8)17)6-2-3-7-14-9(13)4-5-10(14)15/h8-9,11,16H,2-7H2,1H3	0.27541988620472
7	InChI=1S/C26H29NO4/c1-14-10-18-17(8-9-20(28-4)26(18)21(11-14)29-5)25-19-12-15(2)27-16(3)24(19)22(30-6)13-23(25)31-7/h8-11,13,15H,12H2,1-7H3	0.46710512830008
8	InChI=1S/C15H11N5/c16-15-18-8-6-12(20-15)14-13-10(5-7-17-14)9-3-1-2-4-11(9)19-13/h1-8,19H,(H2,16,18,20)	0.42594838978076
9	InChI=1S/C10H12O4/c1-5-4-6-2-3-7(11)9(12)8(6)10(13)14-5/h5-6,12H,2-4H2,1H3	0.28259947474505
10	InChI=1S/C31H50O5/c1-17-15-18-23(26(4,5)33)36-31(35-18)22(17)27(6)13-14-30-16-29(30)12-11-21(32)25(2,3)19(29)9-10-20(30)28(27,7)24(31)34-8/h17-24,32-33H,9-16H2,1-8H3	0.2737103578263
11	InChI=1S/C21H22O6/c1-24-17-7-6-14(11-18(17)25-2)20-16(12-23)15-9-13(5-4-8-22)10-19(26-3)21(15)27-20/h4-11,16,20,23H,12H2,1-3H3	0.43080357629074
12	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	0.40227319669626
13	InChI=1S/C8H10N4O2/c1-10-4-9-6(13)5-7(10)12(3)8(14)11(5)2/h4H,1-3H3	0.40969805188389
14	InChI=1S/C22H26N4/c1-23-13-11-16-15-26(20-10-6-3-7-17(16)20)22-12-14-25(2)21(22)24-19-9-5-4-8-18(19)22/h3-10,15,21,23-24H,11-14H2,1-2H3	0.23841052121317
15	InChI=1S/C23H30N2O6/c1-30-22-19(26)8-13(9-20(22)27)23(29)31-16-5-6-24-11-14-7-15(18(24)10-16)12-25-17(14)3-2-4-21(25)28/h8-9,14-18,26-27H,2-7,10-12H2,1H3	0.51104329593874
16	InChI=1S/C24H32N2O5/c1-29-21-7-6-15(11-22(21)30-2)24(28)31-18-8-9-25-13-16-10-17(20(25)12-18)14-26-19(16)4-3-5-23(26)27/h6-7,11,16-20H,3-5,8-10,12-14H2,1-2H3	0.3608101428896
17	InChI=1S/C14H9NO2/c1-2-4-12-10(3-1)11-6-14-13(16-8-17-14)5-9(11)7-15-12/h1-7H,8H2	0.49748774210335
18	InChI=1S/C22H34O/c1-5-15-7-9-19-18-8-6-16-14-17(23-4)10-12-22(16,3)20(18)11-13-21(15,19)2/h5-6,15,17-20H,1,7-14H2,2-4H3	0.31971583693298
19	InChI=1S/C24H40N2/c1-16(25-4)20-9-10-21-19-8-7-17-15-18(26(5)6)11-13-23(17,2)22(19)12-14-24(20,21)3/h7,9,16,18-19,21-22,25H,8,10-15H2,1-6H3	0.34378432825297
20	InChI=1S/C23H36O/c1-5-15(2)19-8-9-20-18-7-6-16-14-17(24)10-12-22(16,3)21(18)11-13-23(19,20)4/h5-6,15,17-21,24H,1,7-14H2,2-4H3	0.26733055146016
21	InChI=1S/C11H13NO3/c1-14-9-5-3-8(4-6-11(12)13)7-10(9)15-2/h3-7H,1-2H3,(H2,12,13)	0.32733345769319
22	InChI=1S/C15H10O6/c16-7-1-3-9(11(18)5-7)13-14(19)10-4-2-8(17)6-12(10)21-15(13)20/h1-6,16-19H	0.5008284946804
23	InChI=1S/C25H46N8O10/c1-8(2)4-14(22(39)40)32-25(41)31-13(5-10-7-29-24(28)30-10)21(38)33-15-16(34)18(36)20(19(37)17(15)35)43-23-12(27)6-11(26)9(3)42-23/h8-20,23,34-37H,4-7,26-27H2,1-3H3,(H,33,38)(H,39,40)(H3,28,29,30)(H2,31,32,41)	0.21814712449406
