row ID,row m/z,row retention time,1.mzXML Peak area
1,265.1908615,0.7303166666666667,0
2,304.299793,2.9877666666666665,0
3,346.3103033,2.2414,0
4,330.2790364,2.225283333333333,0
5,222.1597604,1.5397,0
6,254.1288312,1.2669666666666666,0
7,420.2172241,1.8922333333333334,0
8,262.1088596,1.9151833333333335,0
9,197.080777,2.024566666666667,0
10,503.3842068,1.82815,0
11,371.1490702,2.9169,0
12,181.0497589,1.38645,0
13,195.0877666,1.2065833333333333,0
14,347.2231179,0.8703000000000001,0
15,431.2174886,1.3493166666666667,0
16,429.2377686,1.6034333333333335,0
17,224.0705536,2.3175499999999998,0
18,315.2786407,1.5666166666666668,0
19,357.3261312,1.3968333333333334,0
20,329.2958114,1.2781333333333333,0
21,208.0967157,1.4832166666666666,0
22,287.0551046,1.4184333333333332,0
23,619.3236389,2.4334333333333333,0
24,390.1808573,1.9449333333333334,0
25,191.1181208,0.3983333333333333,0
26,269.0808614,2.7471,0
27,223.1325972,1.6773500000000001,0
28,304.2997651,2.9933666666666667,0
29,399.1433716,3.1367833333333333,0
30,391.248057,1.6089333333333333,0
31,206.1400117,1.3492,0
32,276.1707382,1.3346666666666667,0
33,318.2787335,2.22085,0
34,409.1497362,2.0460333333333334,0
35,425.1444041,2.0433833333333333,0
36,441.1392473,1.6642000000000001,0
37,413.2299906,2.0153166666666666,0
38,803.4182739,2.5379666666666667,0
39,318.2792908,1.6254,0
40,316.2635153,2.0967166666666666,0
41,318.2796725,2.1915,0
42,316.2636525,2.2321666666666666,0
43,332.2948382,2.1676834635416666,0
44,330.2791617,2.2918166666666666,0
45,332.2949295,2.168016536458333,0
46,491.3377845,1.1721,0
47,465.1028544,1.4944333333333333,0
48,271.0965373,3.2264333333333335,0
49,566.223114,1.5353333333333334,0
50,258.1488249,1.5488,0
51,195.0651016,1.67175,0
52,320.2947133,2.0284999999999997,0
53,285.0761185,1.8175666666666668,0
54,465.102948,1.4824,0
55,317.0656494,2.3019166666666666,0
56,287.0550028,2.3014,0
57,249.1960763,0.90235,0
58,406.2480038,2.5148333333333333,0
59,326.1592529,1.0352666666666666,0
60,465.102712,1.5033333333333334,0
61,518.3473227,1.9650833333333333,0
62,205.133667,0.5291166666666667,0
63,328.2845898,7.3723833333333335,0
64,175.1232808,1.2018666666666666,0
65,163.0390269,1.6107166666666666,0
66,196.0757809,2.65765,0
67,350.1748889,1.61395,0
68,345.0963597,3.33495,0
69,139.0391998,1.31905,0
70,218.1173248,0.8865166666666667,0
71,209.1279925,1.3539166666666667,0
72,611.3114726,1.41725,0
73,314.2687531,2.0174833333333333,0
74,605.3028158,22.2883,0
75,285.0383148,3.2674499999999997,0
76,611.1612105,1.4072333333333333,0
77,309.0945587,2.0494333333333334,0
78,247.1326974,2.3077833333333335,0
79,304.1544596,1.2183,0
80,193.0491829,2.0229166666666667,0
81,235.2168605,0.8139666666666667,0
82,586.3008423,3.1140499999999998,0
83,199.0602722,1.3497333333333332,0
84,309.1965065,1.561,0
85,204.1240743,1.3873333333333333,0
86,138.0550232,0.39671666666666666,0
87,195.1011505,3.2525833333333334,0
88,378.2061806,2.1913833333333335,0
89,345.0961761,4.358366927083334,0
90,207.138134,1.4753666666666667,0
91,481.2182,,0
92,645.3775005,24.850783333333332,0
93,647.3568054,13.4993,0
94,703.4227905,12.6745,0
95,733.4320094,22.3075,0
96,525.2780228,20.191866666666666,0
